t-4,t-3,t-2,t-1,Y
51.0,68.0,59.0,69.0,54.0
68.0,59.0,69.0,54.0,56.0
59.0,69.0,54.0,56.0,41.0
69.0,54.0,56.0,41.0,39.0
54.0,56.0,41.0,39.0,43.0
56.0,41.0,39.0,43.0,41.0
41.0,39.0,43.0,41.0,55.0
39.0,43.0,41.0,55.0,28.0
43.0,41.0,55.0,28.0,28.0
41.0,55.0,28.0,28.0,37.0
55.0,28.0,28.0,37.0,35.0
28.0,28.0,37.0,35.0,24.0
28.0,37.0,35.0,24.0,34.0
37.0,35.0,24.0,34.0,28.0
35.0,24.0,34.0,28.0,35.0
24.0,34.0,28.0,35.0,29.0
34.0,28.0,35.0,29.0,35.0
28.0,35.0,29.0,35.0,24.0
35.0,29.0,35.0,24.0,31.0
29.0,35.0,24.0,31.0,33.0
31.0,24.0,32.333333333333336,30.11111111111111,24.0
24.0,32.333333333333336,30.11111111111111,24.0,22.0
32.333333333333336,30.11111111111111,24.0,22.0,28.0
30.11111111111111,24.0,22.0,28.0,24.0
24.0,22.0,28.0,24.0,14.0
22.0,28.0,24.0,14.0,17.0
28.0,24.0,14.0,17.0,14.0
24.0,14.0,17.0,14.0,17.0
14.0,17.0,14.0,17.0,17.0
17.0,14.0,17.0,17.0,20.0
14.0,17.0,17.0,20.0,21.0
17.0,17.0,20.0,21.0,13.0
17.0,20.0,21.0,13.0,20.0
20.0,21.0,13.0,20.0,14.0
21.0,13.0,20.0,14.0,22.0
13.0,20.0,14.0,22.0,15.0
20.0,14.0,22.0,15.0,21.0
14.0,22.0,15.0,21.0,16.0
22.0,15.0,21.0,16.0,14.0
15.0,21.0,16.0,14.0,18.33333333333333
21.0,16.0,14.0,18.33333333333333,17.0
16.0,14.0,18.33333333333333,17.0,15.0
14.0,18.33333333333333,17.0,15.0,17.0
18.33333333333333,17.0,15.0,17.0,19.0
17.0,15.0,17.0,19.0,11.0
15.0,17.0,19.0,11.0,23.0
17.0,19.0,11.0,23.0,28.0
19.0,11.0,23.0,28.0,28.0
11.0,23.0,28.0,28.0,22.0
23.0,28.0,28.0,22.0,25.0
28.0,28.0,22.0,25.0,32.0
28.0,22.0,25.0,32.0,26.0
22.0,25.0,32.0,26.0,40.0
25.0,32.0,26.0,40.0,34.0
32.0,26.0,40.0,34.0,33.0
26.0,40.0,34.0,33.0,30.0
40.0,34.0,33.0,30.0,35.0
34.0,33.0,30.0,35.0,32.0
33.0,30.0,35.0,32.0,29.0
30.0,35.0,32.0,29.0,39.0
35.0,32.0,29.0,39.0,36.0
32.0,29.0,39.0,36.0,47.0
29.0,39.0,36.0,47.0,40.0
39.0,36.0,47.0,40.0,44.0
36.0,47.0,40.0,44.0,48.0
47.0,40.0,44.0,48.0,40.0
40.0,44.0,48.0,40.0,37.0
44.0,48.0,40.0,37.0,36.0
48.0,40.0,37.0,36.0,38.0
40.0,37.0,36.0,38.0,39.0
37.0,36.0,38.0,39.0,43.0
36.0,38.0,39.0,43.0,39.0
38.0,39.0,43.0,39.0,41.0
39.0,43.0,39.0,41.0,42.0
43.0,39.0,41.0,42.0,39.0
39.0,41.0,42.0,39.0,35.0
41.0,42.0,39.0,35.0,32.0
42.0,39.0,35.0,32.0,33.0
39.0,35.0,32.0,33.0,30.0
35.0,32.0,33.0,30.0,41.0
32.0,33.0,30.0,41.0,50.0
33.0,30.0,41.0,50.0,39.0
